imdbID,Title,Actors,Genre,Country,Language,Production,Rated,Runtime,Year,imdbRating,Responsibility,popularity2,rating,totalVotes,budget2
tt3065204,The Conjuring 2, Frances O'Connor,Horror,"Canada,USA",English,Warner Bros. Pictures,R,134,2016,7.4,Screenplay,13.584,7.2,4059,320170008
tt0102526,New Jack City, Chris Rock,Action,USA,English,Warner Bros. Pictures,R,97,1991,6.6,story,7.869,6.6,209,47624253
tt0397065,House of Wax, Paris Hilton,Horror,"Australia,USA",English,Warner Bros. Pictures,R,108,2005,5.3,story,10.573,5.7,1315,68766121
tt3731562,Kong: Skull Island, John C. Reilly,Action,"USA,China,Australia,Canada",English,Warner Bros. Pictures/Legendary Pictures,PG-13,118,2017,6.7,Screenplay,20.272,6.3,5943,566652812
tt0117038,Michael, Bob Hoskins,Comedy,USA,English,WARNER BROTHERS PICTURES,PG,105,1996,5.7,story,24.563,5.6,283,119718203
tt0099528,The Exorcist III, Jason Miller,Drama,USA,English,WARNER BROTHERS PICTURES,R,110,1990,6.3,Screenplay,8.936,6,234,39024251
tt0110442,Major League II, Dennis Haysbert,Comedy,USA,English,Warner Home Video,PG,105,1994,5.5,characters,9.268,5.5,129,30626182
tt0106701,Dennis the Menace, Christopher Lloyd,Comedy,USA,English,Warner Home Video,PG,94,1993,5.5,characters,9.702,5.6,620,117270765
tt0100240,The NeverEnding Story II: The Next Chapter, John Wesley Shipp,Adventure,"USA,Germany",English,Warner Home Video,PG,89,1990,5.1,Screenplay,11.374,5.5,343,16283667
tt0120765,My Giant, Joanna Pacula,Comedy,USA,English,Warner Home Video,PG,103,1998,4.9,story,3.477,5.3,53,7985929
tt0104850,Memoirs of an Invisible Man, Michael McKean,Comedy,"USA,France",English,Warner Home Video,PG-13,99,1992,5.9,Book,5.935,5.9,218,14358033
tt0120207,Steel, Richard Roundtree,Action,USA,English,Warner Home Video,PG-13,97,1997,2.8,Comic,6.323,4.1,91,1686429
tt0103962,Christopher Columbus: The Discovery, Rachel Ward,Adventure,"UK,USA,Spain",English,Warner Home Video,PG-13,120,1992,4.4,story,2.323,4.5,17,8251071
tt0108330,This Boy's Life, Jonah Blechman,Biography,USA,English,Warner Home Video,R,115,1993,7.3,Book,26.973,7.1,373,4104962
tt0100594,The Sheltering Sky, Jill Bennett,Adventure,"UK,Italy","English,French",Warner Home Video,R,138,1990,6.8,Book,6.655,6.7,92,2075084
tt0122151,Lethal Weapon 4, Rene Russo,Action,"USA,China","English,Mandarin",Warner Home Video,R,127,1998,6.6,characters,13.713,6.5,1275,285444603
tt0094947,Dangerous Liaisons, Swoosie Kurtz,Drama,"USA,UK",English,Warner Home Video,R,119,1988,7.6,play,9.535,7.2,521,34670720
tt0110148,Interview with the Vampire: The Vampire Chronicles, John McConnell,Drama,USA,"English,French",Warner Home Video,R,123,1994,7.6,Screenplay,14.343,7.3,2744,223664608
tt0082894,Pennies from Heaven, Vernel Bagneris,Drama,USA,English,Warner Home Video,R,108,1981,6.5,Screenplay,3.106,6.4,41,9171289
tt0112401,Assassins, Anatoli Davydov,Action,"France,USA","English,Dutch,Spanish",Warner Home Video,R,132,1995,6.3,story,12.573,6.2,651,30303072
tt0110944,Rapa Nui, Eru Potaka Dewes,Action,USA,English,Warner Home Video,R,107,1994,6.4,story,3.909,6.3,67,305070
tt0106697,Demolition Man, Nigel Hawthorne,Action,USA,English,Warner Home Video,R,115,1993,6.6,story,14.004,6.5,1647,159055768
tt0104265,Final Analysis, Eric Roberts,Drama,USA,English,Warner Home Video,R,124,1992,5.8,story,6.659,5.6,108,28590665
tt0478134,In the Valley of Elah, Susan Sarandon,Crime,USA,English,Warner Independent Pictures,R,121,2007,7.2,Screenplay,8.565,6.7,450,29541790
tt0427392,The Invasion, Jackson Bond,Sci-Fi,"USA,Australia",English,Warners Bros. Pictures,PG-13,99,2007,5.9,Screenplay,11.096,5.8,672,15071514
