imdbID,Title,Actors,Genre,Country,Language,Production,Rated,Runtime,Year,imdbRating,Responsibility,popularity2,totalVotes,budget2
tt2103281,Dawn of the Planet of the Apes, Keri Russell,Action,Canada,English,20th Century Fox,PG-13,130,2014,7.6,characters,27.731,6983,710644566
tt1436562,Rio, Leslie Mann,Animation,USA,English,20th Century Fox,G,96,2011,6.9,story,16.978,3656,484635760
tt0113189,GoldenEye, Famke Janssen,Action,UK,English,MGM,PG-13,130,1995,7.2,characters,21.54,1928,352194034
tt0350258,Ray, Clifton Powell,Biography,USA,English,Universal Pictures,PG-13,152,2004,7.7,story,10.872,826,124731534
tt0134983,Supernova, Lou Diamond Phillips,Horror,Switzerland,English,MGM,PG-13,90,2000,4.8,story,9.788,160,14828081
tt1340800,Tinker Tailor Soldier Spy, Péter Kálloy Molnár,Drama,France,French,Focus Features,R,122,2011,7.1,screenplay,12.036,1384,80630608
tt0103671,American Me, Dyana Ortelli,Biography,USA,English,MCA Universal Home Video,R,125,1992,7.2,story,6.682,59,134450
tt0119643,Meet Joe Black, Jake Weber,Drama,USA,English,Universal Pictures,PG-13,178,1998,7.2,screenplay,11.486,2180,142940100
tt2446042,Taken 3, Maggie Grace,Action,Russia,Russian,20th Century Fox,PG-13,108,2014,6,characters,24.515,3360,325771424
tt1602620,Amour, Alexandre Tharaud,Drama,France,French,Sony Pictures Classics,PG-13,127,2012,7.9,screenplay,7.826,725,29844753
tt3425034,Fasten Your Seatbelts, Carolina Crescentini,Comedy,Italy,Italian,01 Distribution,TV-Y,110,2014,6.5,story,6.956,144,5260000
tt0493464,Wanted, Terence Stamp,Action,Germany,English,Universal Pictures,R,110,2008,6.7,screenplay,16.585,4095,258270008
tt1646971,How to Train Your Dragon 2, Craig Ferguson,Animation,USA,English,20th Century Fox,PG,102,2014,7.8,book,25.204,5470,609123048
tt3896198,Guardians of the Galaxy Vol. 2, Vin Diesel,Action,New Zealand,English,Walt Disney Pictures,PG-13,136,2017,7.7,characters,82.519,12218,863756051
tt0124298,Blast from the Past, Sissy Spacek,Comedy,USA,English,New Line Cinema,PG-13,112,1999,6.6,story,9.56,406,40263020
